id,name,latitude,longitude,image,website,address,state
0,CMS,0,0,,,,
1,CTRL GRP1,0,0,,,,
2,CTRL GRP2,0,0,,,,
3,CTRL GRP3,0,0,,,,
10,JFK Medical Center,40.5578,-74.3497,http://media.nj.com/ledgerlocal/photo/9018596-large.jpg,www.jfkmc.org,"65 james Street, Edison",NJ
11,Capital Health Medical Center - Regional,40.2363,-74.7526,http://www.hunterdonhealthcare.org/sites/default/files/u6/HMC%201-18-2012%20(2).jpg,http://www.capitalhealth.org/,"750 Brunswick Avenue, Trenton",NJ
12,Capital Heath Medical Center - Hopewell,40.2921,-74.8033,http://media.nj.com/independentpress_impact/photo/10696945-large.jpg,http://www.capitalhealth.org/our-locations/hopewell,"1 Capital Way, Pennington",NJ
13,CentraState Medical Center,40.2386,-74.3129,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.centrastate.com/,"901 West Main Street, Freehold",NJ
14,Cooper Hospital / University Medical Center,39.9415,-75.1168,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.cooperhealth.org/,"1 Cooper Plaza, Camden",NJ
15,Deborah Heart and Lung Center,39.97751,-74.58562,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.deborah.org/,"200 Trenton Road, Browns Mills",NJ
16,Hunterdon Medical Center,40.53142,-74.8608,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.hunterdonhealthcare.org/,"2100 Wescott Drive, Flemington",NJ
17,Jersey Shore University Medical Center,40.2074,-74.04151,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.jerseyshoreuniversitymedicalcenter.com/JSUMC/,"1945 Route 33, Neptune",NJ
18,Morristown Medical Center,40.78883,-74.4662,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.atlantichealth.org/morristown/,"100 Madison Avenue, Morristown",NJ
19,Overlook Medical Center,40.71264,-74.3546,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.atlantichealth.org/overlook/,"99 Beauvoir Avenue, Summit",NJ
20,Robert Wood Johnson University Hospital,40.49589,-74.44856,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.rwjuh.edu/,"1 Robert Wood Johnson Place, New Brunswick",NJ
21,Robert Wood Johnson University Hospital -Hamilton,40.2171,-74.67474,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.rwjhamilton.org/,"1881 Whitehorse Hamilton Square Road, Hamilton",NJ
22,Robert Wood Johnson University Hospital -Rahway,40.61288,-74.29092,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.rwjuhr.com/,"865 Stone Street, Rahway",NJ
23,St. Joseph’s Regional Medical Center,40.90212,-74.16639,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://stjosephshealth.org/index.php/sjrmc-home-page,"703 Main Street, Paterson",NJ
24,"Saint Clare's Hospital (Denville, Dover)",40.89538,-74.46479,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.saintclares.org/saint-clares-hospital-denville-new-jersey,"25 Pocono Road, Denville",NJ
25,Saint Michael's Medical Center,40.74278,-74.17342,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.smmcnj.org/index.html,"111 Central Avenue, Newark",NJ
26,Saint Peter's University Hospital,40.50132,-74.4592,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.saintpetershcs.com/,"254 Easton Avenue, New Brunswick",NJ
27,Inspira Medical Center - Elmer,39.5883,-75.17938,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.inspirahealthnetwork.org/,"501 West Front Street, Elmer",NJ
28,Inspira Medical Center - Vineland,39.44743,-75.05838,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.sjhealthcare.net/SJH-regional-medical-center,"1505 West Sherman Avenue, Vineland",NJ
29,Inspira Medical Center - Woodbury,39.84401,-75.14995,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.inspirahealthnetwork.org/,"509 North Broad Street, Woodbury",NJ
30,St. Mary's Hospital Passaic,40.85839,-74.13741,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.smh-nj.org/,"350 Boulevard, Passaic",NJ
31,The Valley Hospital,40.98359,-74.10047,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.valleyhealth.com/valley_hospital_default.aspx,"223 North Van Dien Avenue, Ridgewood",NJ
32,University Medical Center of Princeton at Plainsboro,40.3398,-74.62401,http://www.riverviewmedicalcenter.com/images/noFlash-RMC.jpg,http://www.princetonhcs.org/phcs-home/what-we-do/university-medical-center-of-princeton-at-plainsboro.aspx,"1 Plainsboro Road, Plainsboro",NJ
