1,Heart transplant or implant of heart assist system w MCC,THORACIC SURGERY
2,Heart transplant or implant of heart assist system w/o MCC,THORACIC SURGERY
3,"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R.",SURGICAL TRACHEOSTOM
4,"Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R.",SURGICAL TRACHEOSTOM
5,Liver transplant w MCC or intestinal transplant,GENERAL SURGERY
6,Liver transplant w/o MCC,GENERAL SURGERY
7,Lung transplant,THORACIC SURGERY
8,Simultaneous pancreas/kidney transplant,GENERAL SURGERY
9,Bone marrow transplant,ONCOLOGY/HEMATOLOGY
10,Pancreas transplant,GENERAL SURGERY
11,"Tracheostomy for face,mouth & neck diagnoses w MCC",SURGICAL TRACHEOSTOM
12,"Tracheostomy for face,mouth & neck diagnoses w CC",SURGICAL TRACHEOSTOM
13,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC",SURGICAL TRACHEOSTOM
20,Intracranial vascular procedures w PDX hemorrhage w MCC,NEUROSURGERY
21,Intracranial vascular procedures w PDX hemorrhage w CC,NEUROSURGERY
22,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC,NEUROSURGERY
23,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant,NEUROSURGERY
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC,NEUROSURGERY
25,Craniotomy & endovascular intracranial procedures w MCC,NEUROSURGERY
26,Craniotomy & endovascular intracranial procedures w CC,NEUROSURGERY
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC,NEUROSURGERY
28,Spinal procedures w MCC,NEUROSURGERY
29,Spinal procedures w CC or spinal neurostimulators,NEUROSURGERY
30,Spinal procedures w/o CC/MCC,NEUROSURGERY
31,Ventricular shunt procedures w MCC,NEUROSURGERY
32,Ventricular shunt procedures w CC,NEUROSURGERY
33,Ventricular shunt procedures w/o CC/MCC,NEUROSURGERY
34,Carotid artery stent procedure w MCC,VASCULAR SURGERY
35,Carotid artery stent procedure w CC,VASCULAR SURGERY
36,Carotid artery stent procedure w/o CC/MCC,VASCULAR SURGERY
37,Extracranial procedures w MCC,VASCULAR SURGERY
38,Extracranial procedures w CC,VASCULAR SURGERY
39,Extracranial procedures w/o CC/MCC,VASCULAR SURGERY
40,Periph & cranial nerve & other nerv syst proc w MCC,NEUROSURGERY
